Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing,Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality
1.0,0.2890629720346347,0.6191997177763114,0.0,0.5258640562969956,1.0,1.0,0.7142857142857143,0.7142857142857157,0.7142857142857113,NaN
1.0,0.2890629720346347,0.45765257337023135,0.03591160220994438,0.49219057640426517,0.8888888888888888,1.0,0.9210526315789473,0.9210526315789486,0.9210526315789461,NaN
0.9718522533202253,0.30209924083294515,0.4524810543377459,0.0849482570042347,0.48441206811450727,0.6411731528482797,0.7715736040609147,0.945945945945946,0.9459459459459476,0.945945945945945,NaN
0.9651772198476293,0.39078206573284247,0.48740917477553264,0.055822085460521365,0.4714481842825038,0.6174964838255977,0.5063291139240512,0.8750000000000001,0.8750000000000003,0.8750000000000007,NaN
0.9633849224490707,0.3970104138630669,0.5582708094511117,0.09794073329984909,0.5677240502993507,0.6159371492704826,0.5454545454545457,0.7446808510638298,0.7446808510638303,0.7446808510638283,NaN
0.9567648446384808,0.40320738492462516,0.7342595613036939,0.0689285664583823,0.641485759397558,0.5266162888329134,0.5843828715365241,0.5303030303030304,0.5303030303030304,0.5303030303030289,NaN
0.9567648446384808,0.40320738492462516,0.8140158341087107,0.033469251429923075,0.6325054754448814,0.724097397145256,0.5843828715365241,0.4794520547945205,0.47945205479452035,0.4794520547945217,NaN
0.9532493689762244,0.41550813951298204,0.8199222732621908,0.0466220800620335,0.6347163718438614,0.4803118908382066,0.3609022556390985,0.472972972972973,0.4729729729729738,0.47297297297297,NaN
0.9497689604028687,0.5086702510405833,0.5642655448273477,0.09474931455890623,0.9664558657470896,0.45619285120532,0.4389027431421445,0.426829268292683,0.4268292682926837,0.4268292682926826,NaN
0.9367935016993545,0.6009076765976875,0.6237320378046738,0.14239885938335406,1.0,0.7133167907361455,0.5161290322580648,0.36082474226804123,0.3608247422680403,0.36082474226803934,NaN
0.9351069520664812,0.6064925782033905,0.6271197071299791,0.14862425469066243,0.9987458770093264,0.4312431243124313,0.554455445544554,0.36082474226804123,0.3608247422680403,0.36082474226803934,NaN
0.9286874633740817,0.6120499000480784,0.6254467220462558,0.15481890730509484,0.9974954541848381,0.6882853223593964,0.5925925925925913,0.36082474226804123,0.3608247422680403,0.36082474226803934,NaN
0.9222995977786896,0.6975665630437538,0.5935929679677837,0.16098304438940725,0.9727962872517879,0.7080459770114942,0.630541871921181,0.40229885057471265,0.4022988505747138,0.4022988505747102,NaN
0.9002049949134565,0.7081530403097244,0.6204769722387251,0.1387173653991981,0.7546222345631904,0.6618736383442265,0.4117647058823516,0.44871794871794873,0.4487179487179501,0.4487179487179464,NaN
0.8892387250316905,0.6340074357473806,0.6188365902729143,0.1448756568371854,0.7568809458415794,0.3833740831295844,0.44987775061124846,0.44303797468354433,0.4430379746835445,0.44303797468354594,NaN
0.9033234200319858,0.6340074357473806,0.7137339111607196,0.1448756568371854,0.6104431651206906,0.25558272208638955,0.44987775061124846,0.5,0.5000000000000013,0.4999999999999974,NaN
0.9157935280444429,0.718636234870661,0.8563600771368975,0.185338903112788,0.621916644250681,0.2549593495934959,0.4878048780487799,0.5,0.5000000000000013,0.4999999999999974,NaN
-0.6341448268334665,29.632402358142492,0.46671352324771054,6.986674837533703,0.7654937654836905,1.6111137322743831,49.96815286624205,3.3288043478260874,-7.228260869565215,-14.456521739130446,NaN
0.8892843065689087,0.7290176508436277,0.8503053961737141,0.19733948398862822,0.7122369302627183,0.35943905070118665,0.27184466019417497,0.4794520547945205,0.47945205479452035,0.4794520547945217,NaN
0.8738012627149828,0.6555396438786578,0.6651142014105893,0.20329618878172118,0.7542478996916189,0.2601381042059008,0.019370460048425686,0.5,0.5000000000000013,0.4999999999999974,NaN
0.8569400870992863,0.5878980280036107,0.8930178372007123,0.24904479797643586,0.7722721982885363,0.25888442659526995,0.09638554216867323,0.4605263157894737,0.4605263157894743,0.46052631578947045,NaN
0.8494503060620314,0.5987820083263837,0.8852270123183114,0.2605959431349947,0.7669994333643074,0.25764277466915353,0.17266187050359538,0.46666666666666673,0.4666666666666675,0.46666666666666634,NaN
0.8132037286888264,0.3056316491524873,0.7484374333011755,0.31123388581952116,0.8762867528204458,0.4424691358024691,0.2857142857142848,0.472972972972973,0.4729729729729738,0.47297297297297,NaN
0.8060099704525359,0.16381633694944764,0.9431213769198589,0.2556361446414074,0.8568263213910229,0.37156398104265403,0.07582938388625449,0.41666666666666663,0.4166666666666682,0.4166666666666645,NaN
0.7923591641607803,0.08686229156795278,1.0,0.22227749993453927,0.7486879818281414,0.5779884149552397,0.07582938388625449,0.40229885057471265,0.4022988505747138,0.4022988505747102,NaN
0.7910898220469686,0.17018369295028046,0.9637116616292687,0.26131421182555536,0.7224758885347966,0.5148410822169688,0.1134751773049647,0.44303797468354433,0.4430379746835445,0.44303797468354594,NaN
0.7956293336743296,0.17018369295028046,0.8622965702885496,0.26131421182555536,0.7054860938766989,0.3706855791962175,0.1134751773049647,0.472972972972973,0.4729729729729738,0.47297297297297,NaN
