Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
NaN,0.105,0.105,0.8203316953316951,0.9818724215723081,0.36641402179062055,0.3546392921960072,0.13635512268215033,0.6902413772199647,0.25493421052631576,NaN
NaN,0.16799999999999998,0.16799999999999998,0.7125307125307125,0.9817491696244074,0.5049739459971577,0.3094714897453234,0.1460470309120091,0.5938467443693334,0.5065359477124183,NaN
NaN,0.43764705882352944,0.43764705882352944,0.25846483333114345,1.0,0.39174217997891225,0.9763556729699665,0.11312134083342895,0.6954405616710815,1.0,NaN
NaN,0.49499999999999994,0.49499999999999994,0.2524290819745365,0.9363097744716505,0.19247302653065423,0.6142040586849432,0.16924913242412853,0.6730933367193909,0.78222049689441,NaN
NaN,0.9759999999999999,0.9759999999999999,0.0071662571662571405,0.927627869835123,0.4471931271236498,0.20459504044274154,0.1285092922103599,0.756972477563801,0.4185956790123457,NaN
NaN,1.0,1.0,0.0,0.9108994680820716,0.4695175344156869,0.20528996865203758,0.15561307020381754,0.7502986899100255,0.4696969696969697,NaN
NaN,0.6436363636363636,0.6436363636363636,0.10468319559228663,0.868614213950193,0.3648468104057161,0.26607990914722274,0.12493873463038341,1.0,0.1160179640718563,NaN
NaN,0.4712195121951219,0.4712195121951219,0.2655959729130461,0.8527707466058616,0.38035200233210653,0.9612068965517242,0.047358335614563374,0.8386870645106006,0.05732248520710059,NaN
NaN,0.5471999999999999,0.5471999999999999,0.2857493857493858,0.8273297942356368,0.14495499763145414,0.793103448275862,0.14262250205310711,0.7594430709953154,0.11464497041420119,NaN
NaN,0.6469565217391304,0.6469565217391304,0.16898123419862557,0.7870110919413041,0.046528764671824874,0.8370765275257107,0.11281763126677913,0.6212759189096173,0.7931286549707602,NaN
NaN,0.49199999999999994,0.49199999999999994,0.23341523341523335,0.8037733568557992,0.3954944997105111,0.24920598911070777,0.11281763126677913,0.5913771851993426,0.7364766081871345,NaN
NaN,0.4749999999999999,0.4749999999999999,0.23730548730548734,0.8037733568557992,0.5118164113900732,0.28754537205081665,0.06574264843603683,0.6044836509955235,0.3399122807017544,NaN
NaN,0.3670588235294117,0.3670588235294117,0.32757623934094515,0.7630371549124336,0.1716424487457725,0.31128458299919803,0.07477447653728375,0.5272596847718581,0.3379360465116279,NaN
NaN,0.25263157894736843,0.25263157894736843,0.4206646838225786,0.7393403732249371,0.18033258215293946,0.3536974287422762,0.03717112706477688,0.5195190517386699,0.0,NaN
