Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
NaN,0.9933920704845816,0.9933920704845816,0.17602915605704159,1.0,0.4861578281244656,0.4028957011350433,0.15488984028615516,1.0,0.29214279660037445,NaN
NaN,1.0,1.0,0.0968943631264164,0.9991755447876047,0.4954248366013072,0.40777703851556146,0.08403931312894175,0.9963518915548168,0.45886154610986823,NaN
NaN,0.9977973568281938,0.9977973568281938,0.14965089174683321,0.979418709296414,0.5135529991691434,0.4095750105628159,0.18949439798052248,0.9891738080182868,0.6608533777494733,NaN
NaN,0.8175391865587541,0.8175391865587541,0.24344333624575068,0.9787613168111261,0.522420035207759,0.47585987445399053,0.11993334201010075,0.9902136360395247,0.490321953117401,NaN
NaN,0.7627237791733058,0.7627237791733058,0.15854138621386912,0.9697550397626795,0.3199560456593704,0.9837137319563771,0.03917177702749253,0.9920362214930073,0.6146289271471647,NaN
NaN,0.7750257756115849,0.7750257756115849,0.09961122126553114,0.9685970898564505,0.34020244461420934,1.0,0.06340024652227516,0.9851704908463076,0.6058485139022051,NaN
NaN,0.9019823788546255,0.9019823788546255,0.06437238572559065,0.9587191791540195,0.3598785224717289,0.9335694807567964,0.16543281523973918,0.9749431371500653,1.0,NaN
NaN,0.8894548458149779,0.8894548458149779,0.10361005388702561,0.9324614418437598,0.3598785224717289,0.888701470298839,0.16543281523973918,0.9749431371500653,0.7583892617449665,NaN
NaN,-0.07676635676145424,-0.07676635676145424,0.8596706750808806,-0.14267348267019156,12.208647568052804,0.651882861024458,3.6867543566752614,0.15504150556086302,0.6386114364217826,NaN
NaN,0.697933264598369,0.697933264598369,0.3051151383175157,0.8716729814953504,0.3976134663080676,0.3054712492822574,0.20843916664857565,0.9211804655313341,0.8159418957433114,NaN
NaN,0.7571585903083701,0.7571585903083701,0.2668806860593679,0.8383120774339999,0.41571604071604074,0.22162282042521567,0.2290705919865983,0.9125235673605256,0.18674043170687468,NaN
NaN,0.7803266358654776,0.7803266358654776,0.19270465091098085,0.8383120774339999,0.41571604071604074,0.2144479809150468,0.2290705919865983,0.9251146218086856,0.18674043170687468,NaN
